Row ID+O6G3A1:R6,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,State,City,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Returns,Payment Mode
3209,CA-2019-108882,09-01-2019,15-01-2019,Standard Class,LA-16780,Laura Armstrong,Corporate,India,Kerela,Kerela,South,TEC-AC-10000420,Technology,Electrical Fans,Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,349.95,5,118.983,0,COD
3210,CA-2019-108882,09-01-2019,15-01-2019,Standard Class,LA-16780,Laura Armstrong,Corporate,India,Kerela,Kerela,South,TEC-PH-10002726,Technology,LED,netTALK DUO VoIP Telephone Service,377.928,9,141.723,0,Cards
3744,CA-2019-137848,15-01-2019,21-01-2019,Standard Class,WB-21850,William Brown,Consumer,India,Karnataka,Bangalore,South,OFF-BI-10002225,Office Supplies,Wire and Cables,"Square Ring Data Wire and Cables, Rigid 75 Pt. Covers, 11"" x 14-7/8""",49.536,3,17.3376,0,Cards
26,CA-2019-121755,16-01-2019,20-01-2019,Second Class,EH-13945,Eric Hoffmann,Consumer,India,Kerela,Kerela,South,OFF-BI-10001634,Office Supplies,Wire and Cables,Wilson Jones Active Use Wire and Cables,11.648,2,4.2224,0,Cards
27,CA-2019-121755,16-01-2019,20-01-2019,Second Class,EH-13945,Eric Hoffmann,Consumer,India,Kerela,Kerela,South,TEC-AC-10003027,Technology,Electrical Fans,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,11.7741,0,COD
2876,US-2019-167339,21-01-2019,23-01-2019,Second Class,TD-20995,Tamara Dahlen,Consumer,India,Kerela,Kerela,South,FUR-CH-10004289,Furniture,Modular Switches,Global Super Steno Chair,153.568,2,-5.7588,0,COD
2877,US-2019-167339,21-01-2019,23-01-2019,Second Class,TD-20995,Tamara Dahlen,Consumer,India,Kerela,Kerela,South,FUR-CH-10000785,Furniture,Modular Switches,Global Ergonomic Managers Chair,1013.488,7,76.0116,0,COD
6238,US-2019-155180,22-01-2019,29-01-2019,Standard Class,TB-21280,Toby Braunhardt,Consumer,India,Karnataka,Bangalore,South,OFF-BI-10004506,Office Supplies,Wire and Cables,Wilson Jones data.warehouse D-Ring Wire and Cables with DublLock,26.336,4,9.2176,0,Online
7294,CA-2019-113656,23-01-2019,29-01-2019,Standard Class,CB-12415,Christy Brittain,Consumer,India,Kerela,Kerela,South,FUR-FU-10000719,Furniture,MCBs & DBs,"DAX Cubicle Frames, 8-1/2 x 11",59.99,7,21.5964,0,Online
9358,CA-2019-168046,25-01-2019,28-01-2019,Second Class,JD-15895,Jonathan Doherty,Corporate,India,Karnataka,Bangalore,South,OFF-BI-10003676,Office Supplies,Wire and Cables,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",43.12,5,15.092,0,Online
